split_id,status,n_train,n_test,auc,accuracy,tn,fp,fn,tp,reason
131,skipped,0,0,,,,,,,insufficient_rows
132,skipped,0,0,,,,,,,insufficient_rows
133,skipped,0,0,,,,,,,insufficient_rows
134,skipped,0,0,,,,,,,insufficient_rows
135,skipped,0,0,,,,,,,insufficient_rows
136,skipped,0,0,,,,,,,insufficient_rows
137,skipped,0,0,,,,,,,insufficient_rows
138,skipped,0,0,,,,,,,insufficient_rows
139,skipped,0,0,,,,,,,insufficient_rows
140,skipped,0,0,,,,,,,insufficient_rows
141,skipped,0,0,,,,,,,insufficient_rows
142,skipped,0,0,,,,,,,insufficient_rows
143,skipped,0,0,,,,,,,insufficient_rows
144,skipped,0,0,,,,,,,insufficient_rows
145,skipped,0,0,,,,,,,insufficient_rows
146,skipped,0,0,,,,,,,insufficient_rows
147,skipped,0,0,,,,,,,insufficient_rows
148,skipped,0,0,,,,,,,insufficient_rows
149,skipped,0,0,,,,,,,insufficient_rows
150,skipped,0,0,,,,,,,insufficient_rows
151,skipped,0,0,,,,,,,insufficient_rows
152,skipped,0,0,,,,,,,insufficient_rows
153,skipped,0,0,,,,,,,insufficient_rows
154,skipped,0,0,,,,,,,insufficient_rows
155,skipped,0,0,,,,,,,insufficient_rows
156,skipped,0,0,,,,,,,insufficient_rows
157,skipped,0,0,,,,,,,insufficient_rows
