wick_threshold,horizon_candles,target_return,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades
0.8,4,0.012,-0.0006271225476785214,-0.8981881695756667,-0.000910335869494326,-0.7910176166092631,1477
0.8,12,0.012,-0.000381568202970694,-0.8892477668521311,-0.000970376613488665,-0.7757789936792316,1212
0.4,6,0.012,-0.0006231503555882755,-0.9990296742770112,-0.0010634892635648136,-0.9820216579726301,3494
0.8,6,0.012,-0.0005048698476550111,-0.8547805017116832,-0.0010672776067897332,-0.7966214196888113,1366
0.8,12,0.009,-0.000381568202970694,-0.8892477668521311,-0.0010874211924508873,-0.7985513832960813,1345
0.8,4,0.009,-0.0006271225476785214,-0.8981881695756667,-0.0010998689465561839,-0.8432219009308112,1548
0.7,4,0.012,-0.0005876662978635587,-0.9292499470815838,-0.0011105948563905597,-0.9018565863941806,1953
0.8,3,0.012,-0.0007628272742822831,-0.914830434607188,-0.001115270530028537,-0.8474227665366804,1561
0.8,8,0.012,-0.00041388412645362816,-0.8688066308737864,-0.0011415035905322786,-0.818243795130103,1304
0.4,8,0.012,-0.0005184662672080194,-0.9984433269429339,-0.001158917068892554,-0.9791952203886848,3124
0.8,2,0.012,-0.0008235308860449224,-0.9197492245622642,-0.0011737981272790887,-0.8844831407911342,1691
0.4,4,0.012,-0.0006689736161169075,-0.9991121991546925,-0.0011821370185400902,-0.9939013918982776,4128
0.5,8,0.012,-0.0005908110450728627,-0.9936508873107032,-0.0011917361900867429,-0.9689008365952435,2671
0.4,12,0.012,-0.0003600582686133878,-0.9976408007917721,-0.0012009333666825612,-0.9701888807683176,2702
0.7,6,0.012,-0.0004373335499515554,-0.8749245129404919,-0.0012197774383378621,-0.9030561378752384,1790
0.7,3,0.012,-0.0007513815506277635,-0.948312813598837,-0.0012231787249984939,-0.9298450497938892,2072
0.7,8,0.012,-0.0003053811957409482,-0.862828813305716,-0.001224335284499406,-0.8953919940768342,1693
0.8,8,0.009,-0.00041388412645362816,-0.8688066308737864,-0.0012300774019940689,-0.8415344392086258,1405
0.8,3,0.009,-0.0007628272742822831,-0.914830434607188,-0.0012420651823137206,-0.8804561165446201,1613
0.7,4,0.009,-0.0005876662978635587,-0.9292499470815838,-0.00124610425530503,-0.9308449320802527,2046
0.4,2,0.012,-0.00082893685823343,-0.9996120227060187,-0.001249540461924918,-0.9989204438544725,5344
0.7,2,0.012,-0.0008607467714389862,-0.9588615334783254,-0.0012533217734743394,-0.9488345952553305,2260
0.5,6,0.012,-0.0006715296079783025,-0.9949798295208166,-0.0012563126418467343,-0.9811927132174716,2946
0.8,12,0.006,-0.000381568202970694,-0.8892477668521311,-0.00126989701253121,-0.8662837606500899,1551
0.8,6,0.009,-0.0005048698476550111,-0.8547805017116832,-0.0012789436627313586,-0.8612820287933192,1456
0.7,12,0.012,-0.00034238810670738154,-0.9143677123946395,-0.0012829332404131377,-0.8886122140888117,1558
0.4,12,0.009,-0.0003600582686133878,-0.9976408007917721,-0.0013099630351410853,-0.9889817201053485,3256
0.4,4,0.009,-0.0006689736161169075,-0.9991121991546925,-0.0013104262764068514,-0.9972290045652631,4372
0.4,3,0.012,-0.0007760680509992349,-0.9995269284320073,-0.0013113041929016644,-0.998036345853839,4620
0.5,4,0.012,-0.0007052566353667035,-0.9952049944850098,-0.0013122110762511597,-0.990150387583938,3380
0.7,12,0.009,-0.00034238810670738154,-0.9143677123946395,-0.0013124470202657062,-0.9186614096418491,1754
0.4,2,0.009,-0.00082893685823343,-0.9996120227060187,-0.0013156288286930986,-0.9992918801473447,5429
0.4,6,0.009,-0.0006231503555882755,-0.9990296742770112,-0.00132415477959482,-0.9950817448713736,3841
0.7,3,0.009,-0.0007513815506277635,-0.948312813598837,-0.0013246088863794682,-0.9473929699889183,2139
0.8,4,0.006,-0.0006271225476785214,-0.8981881695756667,-0.00132986961818999,-0.8937770398167936,1654
0.8,2,0.009,-0.0008235308860449224,-0.9197492245622642,-0.0013316500036506653,-0.9091804851838179,1716
0.4,8,0.009,-0.0005184662672080194,-0.9984433269429339,-0.001333252707621515,-0.992811501252014,3550
0.5,3,0.012,-0.0008231951611278769,-0.9971089417408255,-0.001343126352832141,-0.9943040194004572,3712
0.8,8,0.006,-0.00041388412645362816,-0.8688066308737864,-0.0013432935692699018,-0.8850173576283602,1579
0.8,6,0.006,-0.0005048698476550111,-0.8547805017116832,-0.0013487386684438603,-0.8904212761662655,1608
0.4,3,0.009,-0.0007760680509992349,-0.9995269284320073,-0.0013510169398894829,-0.9986894093239218,4805
0.7,2,0.009,-0.0008607467714389862,-0.9588615334783254,-0.0013610025827182756,-0.9602093202979709,2292
0.5,2,0.012,-0.0008838597006555211,-0.9974840331873371,-0.001362438278842567,-0.9972957751111796,4210
0.6,3,0.012,-0.0008343817720458142,-0.9845105922705539,-0.0013705400435186246,-0.9822486506455902,2853
0.5,8,0.009,-0.0005908110450728627,-0.9936508873107032,-0.001370993460380716,-0.9867155272565638,2991
0.5,4,0.009,-0.0007052566353667035,-0.9952049944850098,-0.0013769082876473552,-0.9935752848241859,3551
0.7,8,0.009,-0.0003053811957409482,-0.862828813305716,-0.001385339456228913,-0.9327922788053276,1848
0.5,12,0.012,-0.000530021082718944,-0.9947176763690074,-0.001389157122239074,-0.9722503711800717,2371
0.4,2,0.006,-0.00082893685823343,-0.9996120227060187,-0.0013925904328257026,-0.9996260001371254,5615
0.4,8,0.006,-0.0005184662672080194,-0.9984433269429339,-0.001393287871645342,-0.9977596173858306,4300
0.7,6,0.009,-0.0004373335499515554,-0.8749245129404919,-0.0014037131118002832,-0.9406694405190347,1922
0.5,2,0.009,-0.0008838597006555211,-0.9974840331873371,-0.0014098434644721268,-0.9978737255144933,4267
0.8,3,0.006,-0.0007628272742822831,-0.914830434607188,-0.0014099633324570185,-0.911358911591512,1698
0.6,2,0.012,-0.0008959481569825871,-0.9865924778309214,-0.0014136302165617988,-0.9898828416568258,3157
0.7,4,0.006,-0.0005876662978635587,-0.9292499470815838,-0.0014153840839689178,-0.9562240268022796,2178
0.5,12,0.009,-0.000530021082718944,-0.9947176763690074,-0.0014286703176116186,-0.985002992968729,2775
0.4,6,0.006,-0.0006231503555882755,-0.9990296742770112,-0.0014298109119239269,-0.9985412325447521,4480
0.6,4,0.009,-0.0007354856324190287,-0.9805783546573607,-0.001432489679504168,-0.9835623507469876,2768
0.4,4,0.006,-0.0006689736161169075,-0.9991121991546925,-0.0014337514562631274,-0.999098322629054,4828
0.7,6,0.006,-0.0004373335499515554,-0.8749245129404919,-0.0014345525701838023,-0.9539475468170149,2108
0.4,12,0.006,-0.0003600582686133878,-0.9976408007917721,-0.0014368127204285883,-0.9976297431258384,4127
0.7,12,0.006,-0.00034238810670738154,-0.9143677123946395,-0.0014369717570315102,-0.9481170470666717,2021
0.7,8,0.006,-0.0003053811957409482,-0.862828813305716,-0.0014371869880631548,-0.95111289850948,2062
0.5,6,0.009,-0.0006715296079783025,-0.9949798295208166,-0.0014569176875559693,-0.9922785914931137,3200
0.5,2,0.006,-0.0008838597006555211,-0.9974840331873371,-0.0014577971589954464,-0.9983994032040732,4379
0.5,3,0.009,-0.0008231951611278769,-0.9971089417408255,-0.0014586924173216546,-0.9968183751010831,3840
0.6,4,0.012,-0.0007354856324190287,-0.9805783546573607,-0.0014621992143559828,-0.9817351307554815,2647
0.7,3,0.006,-0.0007513815506277635,-0.948312813598837,-0.0014646204131402068,-0.9640696859934433,2246
0.6,2,0.009,-0.0008959481569825871,-0.9865924778309214,-0.0014655608240461383,-0.9917644899143235,3202
0.4,3,0.006,-0.0007760680509992349,-0.9995269284320073,-0.0014661793786513806,-0.9994882440764989,5117
0.6,3,0.009,-0.0008343817720458142,-0.9845105922705539,-0.0014689103593606893,-0.988166493717826,2940
0.6,6,0.012,-0.0006395133956883641,-0.9710589847201081,-0.0014771233505393867,-0.9741518813405996,2374
0.5,8,0.006,-0.0005908110450728627,-0.9936508873107032,-0.001486329702782019,-0.9950921693938972,3525
0.8,2,0.006,-0.0008235308860449224,-0.9197492245622642,-0.001490741580317016,-0.9301091851504503,1769
0.7,2,0.006,-0.0008607467714389862,-0.9588615334783254,-0.0014915336544019551,-0.9710974849443464,2354
0.6,8,0.012,-0.0004926386562116664,-0.9483860523508203,-0.0014963335985783363,-0.9681674228563873,2184
0.6,6,0.006,-0.0006395133956883641,-0.9710589847201081,-0.0015048787770104136,-0.9869319065207274,2845
0.4,2,0.0045,-0.00082893685823343,-0.9996120227060187,-0.0015077348805984877,-0.999848032284653,5796
0.6,4,0.006,-0.0007354856324190287,-0.9805783546573607,-0.0015120892363195773,-0.9894976030287774,2980
0.6,2,0.006,-0.0008959481569825871,-0.9865924778309214,-0.001512513775894609,-0.993313506287984,3283
0.6,8,0.009,-0.0004926386562116664,-0.9483860523508203,-0.0015166485512377323,-0.9775293402994644,2398
0.5,4,0.006,-0.0007052566353667035,-0.9952049944850098,-0.0015193221303974231,-0.997379311646498,3867
0.6,8,0.006,-0.0004926386562116664,-0.9483860523508203,-0.0015193554822848345,-0.9856588500119804,2756
0.4,8,0.0045,-0.0005184662672080194,-0.9984433269429339,-0.0015207561108119985,-0.9994891523222196,4945
0.6,12,0.009,-0.0005088549051250669,-0.9718158551654631,-0.0015336846239051426,-0.9739535818636246,2250
0.6,3,0.006,-0.0008343817720458142,-0.9845105922705539,-0.0015372845900460948,-0.991814533322598,3098
0.4,6,0.0045,-0.0006231503555882755,-0.9990296742770112,-0.0015435791904300255,-0.9996020163496311,5031
0.5,3,0.006,-0.0008231951611278769,-0.9971089417408255,-0.0015496711739404888,-0.9982667569299173,4066
0.6,6,0.009,-0.0006395133956883641,-0.9710589847201081,-0.0015504103407587351,-0.9835172682170379,2551
0.5,2,0.0045,-0.0008838597006555211,-0.9974840331873371,-0.00155122130862797,-0.9991209539822669,4510
0.5,6,0.006,-0.0006715296079783025,-0.9949798295208166,-0.0015534459257841467,-0.9967896220061988,3646
0.5,12,0.006,-0.000530021082718944,-0.9947176763690074,-0.001561007763824387,-0.9954941738706039,3409
0.4,4,0.0045,-0.0006689736161169075,-0.9991121991546925,-0.001565686567001259,-0.9997435496372057,5247
0.6,12,0.006,-0.0005088549051250669,-0.9718158551654631,-0.0015749155439440492,-0.9862007892060256,2681
0.4,3,0.0045,-0.0007760680509992349,-0.9995269284320073,-0.001576032096710403,-0.9998220265850926,5445
0.4,12,0.0045,-0.0003600582686133878,-0.9976408007917721,-0.0015787590272095088,-0.9995501442135349,4839
0.5,4,0.0045,-0.0007052566353667035,-0.9952049944850098,-0.0015852528585125125,-0.998688388648103,4159
0.6,2,0.0045,-0.0008959481569825871,-0.9865924778309214,-0.001589953547255725,-0.9953988959779855,3365
0.5,8,0.0045,-0.0005908110450728627,-0.9936508873107032,-0.0015904899685122494,-0.9982538725600881,3965
0.5,3,0.0045,-0.0008231951611278769,-0.9971089417408255,-0.0015924090131293378,-0.9989537637140997,4284
0.5,6,0.0045,-0.0006715296079783025,-0.9949798295208166,-0.001609390451456493,-0.9985166410799827,4019
0.7,3,0.0045,-0.0007513815506277635,-0.948312813598837,-0.001619793616533147,-0.9775001557681176,2328
0.7,4,0.0045,-0.0005876662978635587,-0.9292499470815838,-0.0016201598106018466,-0.9762686551643112,2295
0.6,3,0.0045,-0.0008343817720458142,-0.9845105922705539,-0.001622891618953072,-0.9948985265306055,3234
0.5,12,0.0045,-0.000530021082718944,-0.9947176763690074,-0.0016315304827190424,-0.9983478797954812,3892
0.8,3,0.0045,-0.0007628272742822831,-0.914830434607188,-0.0016346023617872965,-0.9453143971056859,1767
0.8,4,0.0045,-0.0006271225476785214,-0.8981881695756667,-0.0016355181649576076,-0.9430026750334861,1740
0.6,4,0.0045,-0.0007354856324190287,-0.9805783546573607,-0.0016425500502099287,-0.9946281698215981,3163
0.7,2,0.0045,-0.0008607467714389862,-0.9588615334783254,-0.001642801261491448,-0.9811269909199872,2402
0.7,6,0.0045,-0.0004373335499515554,-0.8749245129404919,-0.0016479189643190068,-0.9760890298783118,2249
0.7,8,0.0045,-0.0003053811957409482,-0.862828813305716,-0.0016483211104008743,-0.9752767824512893,2228
0.6,12,0.012,-0.0005088549051250669,-0.9718158551654631,-0.0016492617803252957,-0.9690943354238953,1991
0.4,2,0.003,-0.00082893685823343,-0.9996120227060187,-0.0016531767379042736,-0.9999569273170138,6061
0.6,6,0.0045,-0.0006395133956883641,-0.9710589847201081,-0.0016585760793751986,-0.9940797344518008,3071
0.8,6,0.0045,-0.0005048698476550111,-0.8547805017116832,-0.0016627343271805952,-0.9429750483714623,1711
0.6,8,0.0045,-0.0004926386562116664,-0.9483860523508203,-0.0016661853883530955,-0.9938410259363738,3033
0.8,8,0.0045,-0.00041388412645362816,-0.8688066308737864,-0.0016721537776276608,-0.9426438600887177,1698
0.4,3,0.003,-0.0007760680509992349,-0.9995269284320073,-0.0016737413885727444,-0.9999482588288002,5878
0.8,12,0.0045,-0.000381568202970694,-0.8892477668521311,-0.0016767338863367283,-0.9424046396774794,1683
0.4,4,0.003,-0.0006689736161169075,-0.9991121991546925,-0.0016800613980820546,-0.9999412045041637,5779
0.4,8,0.003,-0.0005184662672080194,-0.9984433269429339,-0.001680417810177883,-0.9999282013704364,5659
0.4,6,0.003,-0.0006231503555882755,-0.9990296742770112,-0.0016812097602758283,-0.9999321412678723,5690
0.4,12,0.003,-0.0003600582686133878,-0.9976408007917721,-0.0016846874997339053,-0.99992623941571,5628
0.5,2,0.003,-0.0008838597006555211,-0.9974840331873371,-0.0016861285422486707,-0.9996331073544309,4675
0.8,2,0.0045,-0.0008235308860449224,-0.9197492245622642,-0.0016864100222724835,-0.953919195293139,1815
0.7,12,0.0045,-0.00034238810670738154,-0.9143677123946395,-0.0016956513952463771,-0.9768347727940753,2202
0.5,3,0.003,-0.0008231951611278769,-0.9971089417408255,-0.0016979980431399522,-0.9995765699958882,4559
0.5,4,0.003,-0.0007052566353667035,-0.9952049944850098,-0.00170331022090873,-0.9995423030455546,4498
0.6,12,0.0045,-0.0005088549051250669,-0.9718158551654631,-0.0017058779855245385,-0.9940969861513966,2987
0.5,8,0.003,-0.0005908110450728627,-0.9936508873107032,-0.001708577204778502,-0.9994922775544711,4426
0.5,6,0.003,-0.0006715296079783025,-0.9949798295208166,-0.0017092538835200694,-0.9995149839653183,4449
0.6,2,0.003,-0.0008959481569825871,-0.9865924778309214,-0.00170952400479541,-0.9973710471130239,3464
0.5,12,0.003,-0.000530021082718944,-0.9947176763690074,-0.0017122011926433173,-0.9994835627195618,4405
0.6,3,0.003,-0.0008343817720458142,-0.9845105922705539,-0.0017223807410369739,-0.9971746084297793,3398
0.6,4,0.003,-0.0007354856324190287,-0.9805783546573607,-0.0017269229981561629,-0.9970601181007722,3366
0.6,8,0.003,-0.0004926386562116664,-0.9483860523508203,-0.001731113541041231,-0.9968781294641296,3324
0.6,12,0.003,-0.0005088549051250669,-0.9718158551654631,-0.001735801529497732,-0.9968563740053247,3311
0.6,6,0.003,-0.0006395133956883641,-0.9710589847201081,-0.0017376293663864707,-0.997002681732692,3335
0.7,4,0.003,-0.0005876662978635587,-0.9292499470815838,-0.0017858336663692659,-0.9867090302665525,2413
0.7,8,0.003,-0.0003053811957409482,-0.862828813305716,-0.0017877024904075956,-0.9862162820275273,2391
0.7,2,0.003,-0.0008607467714389862,-0.9588615334783254,-0.0017891034809225637,-0.9880438153273002,2466
0.7,12,0.003,-0.00034238810670738154,-0.9143677123946395,-0.00179078421425995,-0.9861699848489474,2384
0.7,3,0.003,-0.0007513815506277635,-0.948312813598837,-0.0017925161348340403,-0.9872679755297623,2427
0.7,6,0.003,-0.0004373335499515554,-0.8749245129404919,-0.0017980787193371216,-0.986649788743629,2395
0.8,4,0.003,-0.0006271225476785214,-0.8981881695756667,-0.001835777235472056,-0.9662864513401073,1842
0.8,3,0.003,-0.0007628272742822831,-0.914830434607188,-0.0018419849466530113,-0.9671531670988166,1850
0.8,2,0.003,-0.0008235308860449224,-0.9197492245622642,-0.0018497799708303438,-0.9689870341547882,1873
0.8,12,0.003,-0.000381568202970694,-0.8892477668521311,-0.0018504807958219002,-0.9655738713424676,1816
0.8,8,0.003,-0.00041388412645362816,-0.8688066308737864,-0.0018532450550654382,-0.9660013755882039,1821
0.8,6,0.003,-0.0005048698476550111,-0.8547805017116832,-0.0018622018946623468,-0.966817273179249,1825
