group,metric,before,after,delta
execution,expectancy,-0.001482798194846278,-0.0014598551605132474,2.2943034333030654e-05
execution,winrate,0.4067663257277734,0.3940520446096654,-0.012714281118107962
execution,profit_factor,0.5194001247772123,0.5024085436876171,-0.016991581089595198
execution,max_drawdown,-0.8510822075972772,-0.549590734799402,0.30149147279787514
execution,trades,1271.0,538.0,-733.0
execution,avg_hold,2.14162077104642,2.366171003717472,0.224550232671052
robustness,best_execution_expectancy,-0.00043582640865515594,0.0005494501880211192,0.0009852765966762752
robustness,best_execution_max_dd,-0.36331194840908543,-0.05881628565130792,0.3044956627577775
blocked,blocked_edge_total,0.0,0.0,0.0
blocked,blocked_by_regime_rule_total,5.0,0.0,-5.0
blocked,blocked_by_payoff_total,0.0,1136.0,1136.0
equity,equity_final_return,-0.8507266299752587,-0.5470957727250751,0.3036308572501836
equity,equity_max_drawdown,-0.8514447288173349,-0.552832564717227,0.29861216410010794
