scenario,allowed_regimes,trades,expectancy,winrate,profit_factor,max_drawdown,avg_hold
no_trade,,0,0.0,0.0,0.0,0.0,0.0
only_pa0_sl1_vh1,pa0_sl1_vh1,78,-0.0012220456336404552,0.47435897435897434,0.61934303888356,-0.08999322014949263,1.8717948717948718
only_top2_regimes,pa0_sl1_vh1|pa0_sl0_vh1,574,-0.0019510427486343278,0.4076655052264808,0.4820734862396621,-0.6829509472152282,1.602787456445993
