wick_threshold,horizon_candles,target_return,payoff_ratio_min,payoff_expected_min,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total,blocked_by_payoff_total
0.5,12,0.009,1.5,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0005349876993745822,-0.16693056686943175,195,0,0,2111
0.5,12,0.009,1.5,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0005349876993745822,-0.16693056686943175,195,0,0,2111
0.5,12,0.009,1.5,0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0005349876993745822,-0.16693056686943175,195,0,0,2111
0.5,12,0.009,1.5,0.0005,-0.0007275531247703579,-0.9330968031406038,-0.0005349876993745822,-0.16693056686943175,195,0,0,2111
0.7,12,0.009,1.1,-0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0007345959267283958,-0.34170163803038034,464,0,2,521
0.7,12,0.009,1.1,0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.000761657710222399,-0.3301186646330009,455,0,2,540
0.7,12,0.009,1.1,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.0007908890151392679,-0.3411415742803635,459,0,2,534
0.7,12,0.009,1.1,0.0005,-8.589869765343853e-05,-0.6604094944221618,-0.00080952519133069,-0.3306564603987765,445,0,2,556
0.7,12,0.009,1.0,0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0008298216215210952,-0.3676877871486315,479,0,2,494
0.7,12,0.009,1.0,0.0005,-8.589869765343853e-05,-0.6604094944221618,-0.0008336733511313822,-0.3458093802423172,450,0,2,548
0.7,12,0.009,1.3,-0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0008887898180330438,-0.23960330866237134,260,0,1,925
0.7,12,0.009,1.3,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.0008887898180330438,-0.23960330866237134,260,0,1,925
0.7,12,0.009,1.3,0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0008887898180330438,-0.23960330866237134,260,0,1,925
0.7,12,0.009,1.3,0.0005,-8.589869765343853e-05,-0.6604094944221618,-0.0009013672452709289,-0.23960330866237134,259,0,1,926
0.7,12,0.009,1.0,-0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0009056170960162181,-0.41460261760598704,519,0,4,418
0.5,12,0.009,1.0,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0010143022951946484,-0.6096201621069672,837,0,4,591
0.5,12,0.009,1.1,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0010171804266360968,-0.5777638450436324,763,0,2,742
0.5,12,0.009,1.3,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0010262865196030144,-0.4124082517191442,473,0,1,1410
0.5,12,0.009,1.3,0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0010262865196030144,-0.4124082517191442,473,0,1,1410
0.5,12,0.009,1.3,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.001027433923490526,-0.41272806154596964,473,0,1,1407
0.5,12,0.009,1.3,0.0005,-0.0007275531247703579,-0.9330968031406038,-0.0010334794229000111,-0.41379682859246236,472,0,1,1414
0.5,12,0.009,1.1,0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0010369670539661687,-0.5750089822718863,750,0,2,788
