feature,importance_runup,importance_ddown,importance_mean
range,0.255656410034086,0.36943125012861533,0.31254383008135067
rolling_volatility,0.12986512379248485,0.09324027156378696,0.11155269767813591
dist_to_ma99,0.07503058089074639,0.08536482005055823,0.0801977004706523
dist_to_ma25,0.09757852190293619,0.04574228721929934,0.07166040456111776
slope_ma99,0.05920255337254489,0.08298284024377964,0.07109269680816227
ma99,0.0663458458366953,0.0533832647223951,0.0598645552795452
dist_to_ma7,0.06332723370689684,0.03713687346947694,0.05023205358818689
volume_zscore,0.04705463110321698,0.042188919905388304,0.044621775504302644
ma25,0.04385056424527351,0.03466039204686526,0.03925547814606939
ma7,0.04201281468634451,0.03609733288151409,0.0390550737839293
lower_wick_ratio,0.026542937350723845,0.029220315319397696,0.02788162633506077
upper_wick_ratio,0.02767464125069541,0.023457370135056284,0.025566005692875846
body,0.02334627022154473,0.02357352480291368,0.023459897512229204
log_return,0.02043563858876247,0.0235164730650533,0.021976055826907884
close_position_in_range,0.0220762330170481,0.020004064445899895,0.021040148731473998
var_oi_1,0.0,0.0,0.0
var_oi_3,0.0,0.0,0.0
var_cvd_1,0.0,0.0,0.0
var_cvd_3,0.0,0.0,0.0
