event,count,p_y_up,p_y_down,mean_return,median_return,p05_return,p95_return,mean_max_drawdown,mean_max_runup,edge,regime_id,regime_price_above_ma99,regime_ma99_slope_up,regime_vol_high
break_structure_up,126,0.23809523809523808,0.19047619047619047,0.0010003406029360212,-0.00021271869333600035,-0.009646789162658292,0.01950066770681702,-0.005887692293267725,0.006943475116436438,0.047619047619047616,pa0_sl0_vh0,0,0,0
big_lower_wick&sweep_down_reclaim,148,0.17567567567567569,0.13513513513513514,0.0011894176429762613,0.0014549143162413403,-0.011102783717184239,0.010745183235520532,-0.00536959656410789,0.005856291761404276,0.04054054054054054,pa0_sl0_vh0,0,0,0
sweep_down_reclaim,527,0.18026565464895636,0.17267552182163187,0.00031830976206177996,0.0010518532508996259,-0.013335312935672038,0.012395872299454597,-0.006219933130371131,0.005696799831471308,0.007590132827324486,pa0_sl0_vh0,0,0,0
big_lower_wick,817,0.11505507955936352,0.10771113831089352,6.187359200513042e-05,-4.38596491227905e-05,-0.01123163443300621,0.009510854999969471,-0.005048095526872654,0.0046303797742335015,0.007343941248470001,pa0_sl0_vh0,0,0,0
break_structure_down,473,0.19873150105708245,0.19238900634249473,-6.702153676791761e-05,0.001143829949428854,-0.016510136631992876,0.013522311760900107,-0.008369918737668805,0.0063640522823523666,0.006342494714587726,pa0_sl0_vh0,0,0,0
break_structure_down,225,0.36444444444444446,0.28,0.0012379341400407195,0.0015585986821966547,-0.020783964203851,0.020908934741584503,-0.01249334185766926,0.011145163222811562,0.08444444444444443,pa0_sl0_vh1,0,0,1
sweep_down_reclaim,254,0.2874015748031496,0.2637795275590551,0.0005342375959850504,0.0016336070007535453,-0.01792625385076097,0.020045669100319297,-0.01141858196924808,0.009440294251456436,0.023622047244094502,pa0_sl0_vh1,0,0,1
big_lower_wick,323,0.21981424148606812,0.22291021671826625,-0.0005566652179358082,3.252855456969961e-05,-0.021942785970002463,0.016747103531025053,-0.009337249508318091,0.007685714566745933,-0.0030959752321981227,pa0_sl0_vh1,0,0,1
big_lower_wick&sweep_down_reclaim,75,0.25333333333333335,0.30666666666666664,-0.0006461366889843297,8.461124174341528e-05,-0.01538930419692831,0.0169292094194644,-0.011390837260068492,0.009009747746651427,-0.05333333333333329,pa0_sl0_vh1,0,0,1
regime_ma99_slope_up,1953,0.12800819252432155,0.12032770097286226,6.37283204022287e-05,0.0002598205957813349,-0.01052426622460596,0.009645802754263143,-0.004936024003271915,0.004433372884974804,0.0076804915514592925,pa0_sl1_vh0,0,1,0
big_lower_wick,219,0.1141552511415525,0.1141552511415525,-0.0002896898942625178,7.669819005129419e-05,-0.011404996350254094,0.008903801514655769,-0.0047193431430110405,0.003802813636064775,0.0,pa0_sl1_vh0,0,1,0
big_lower_wick&regime_ma99_slope_up,219,0.1141552511415525,0.1141552511415525,-0.0002896898942625178,7.669819005129419e-05,-0.011404996350254094,0.008903801514655769,-0.0047193431430110405,0.003802813636064775,0.0,pa0_sl1_vh0,0,1,0
break_structure_down,143,0.1888111888111888,0.1958041958041958,-0.0006496303916083302,0.0005017005395402396,-0.012925858192202067,0.00985570636101645,-0.007028475876447733,0.005331776555386008,-0.006993006993007006,pa0_sl1_vh0,0,1,0
break_structure_down&regime_ma99_slope_up,143,0.1888111888111888,0.1958041958041958,-0.0006496303916083302,0.0005017005395402396,-0.012925858192202067,0.00985570636101645,-0.007028475876447733,0.005331776555386008,-0.006993006993007006,pa0_sl1_vh0,0,1,0
sweep_down_reclaim,167,0.10778443113772455,0.1377245508982036,-0.0004348165553869063,0.0003029296408756377,-0.01220778737751126,0.008603288601609615,-0.006157232732697591,0.004375743404056996,-0.029940119760479042,pa0_sl1_vh0,0,1,0
sweep_down_reclaim&regime_ma99_slope_up,167,0.10778443113772455,0.1377245508982036,-0.0004348165553869063,0.0003029296408756377,-0.01220778737751126,0.008603288601609615,-0.006157232732697591,0.004375743404056996,-0.029940119760479042,pa0_sl1_vh0,0,1,0
regime_ma99_slope_up,493,0.24949290060851928,0.15821501014198783,0.00197555532034727,0.0011867400158320773,-0.012214463479383575,0.01974568710239563,-0.007068154731679911,0.00815138966714524,0.09127789046653145,pa0_sl1_vh1,0,1,1
big_lower_wick,54,0.2037037037037037,0.14814814814814814,0.001979113679246806,0.0009430396344343173,-0.010680601064380917,0.015141807523271442,-0.007409823704429797,0.00798652437868311,0.05555555555555555,pa0_sl1_vh1,0,1,1
big_lower_wick&regime_ma99_slope_up,54,0.2037037037037037,0.14814814814814814,0.001979113679246806,0.0009430396344343173,-0.010680601064380917,0.015141807523271442,-0.007409823704429797,0.00798652437868311,0.05555555555555555,pa0_sl1_vh1,0,1,1
break_structure_up,152,0.17763157894736842,0.17763157894736842,-0.00024194849394601847,-0.0011180725601135366,-0.012233143529066076,0.012804716769604815,-0.005876645596955148,0.00626143603587101,0.0,pa1_sl0_vh0,1,0,0
break_structure_up&regime_above_ma99,152,0.17763157894736842,0.17763157894736842,-0.00024194849394601847,-0.0011180725601135366,-0.012233143529066076,0.012804716769604815,-0.005876645596955148,0.00626143603587101,0.0,pa1_sl0_vh0,1,0,0
regime_above_ma99,1839,0.12398042414355628,0.1245241979336596,-0.0001457846444722992,-0.00046272808870995163,-0.010984312695052179,0.011249045768213173,-0.0050599622145475216,0.004899185923899999,-0.0005437737901033135,pa1_sl0_vh0,1,0,0
big_lower_wick,172,0.11046511627906977,0.11627906976744186,-0.0003834624012072507,-0.0005526909374247158,-0.00932481849371265,0.009441683728481944,-0.004929534678904858,0.004699284103169502,-0.0058139534883720895,pa1_sl0_vh0,1,0,0
big_lower_wick&regime_above_ma99,172,0.11046511627906977,0.11627906976744186,-0.0003834624012072507,-0.0005526909374247158,-0.00932481849371265,0.009441683728481944,-0.004929534678904858,0.004699284103169502,-0.0058139534883720895,pa1_sl0_vh0,1,0,0
regime_above_ma99,405,0.19506172839506172,0.22469135802469137,-0.00025379301234527827,-4.2876312874917666e-05,-0.018207576250449907,0.014619430711262309,-0.008478015567993331,0.008329235501142507,-0.029629629629629645,pa1_sl0_vh1,1,0,1
break_structure_up,653,0.20980091883614088,0.18376722817764166,0.0004500284405642031,-0.0006588286137386712,-0.01322599883182225,0.017234216703320364,-0.006597161724224102,0.007617532432195014,0.026033690658499226,pa1_sl1_vh0,1,1,0
break_structure_up&regime_above_ma99,653,0.20980091883614088,0.18376722817764166,0.0004500284405642031,-0.0006588286137386712,-0.01322599883182225,0.017234216703320364,-0.006597161724224102,0.007617532432195014,0.026033690658499226,pa1_sl1_vh0,1,1,0
break_structure_up&regime_ma99_slope_up,653,0.20980091883614088,0.18376722817764166,0.0004500284405642031,-0.0006588286137386712,-0.01322599883182225,0.017234216703320364,-0.006597161724224102,0.007617532432195014,0.026033690658499226,pa1_sl1_vh0,1,1,0
regime_above_ma99,9220,0.1339479392624729,0.1245119305856833,0.00016940170066237357,-5.9794555896608426e-05,-0.010528522672627433,0.011840472238153764,-0.005044777532490504,0.005288273733774687,0.009436008676789592,pa1_sl1_vh0,1,1,0
regime_ma99_slope_up,9220,0.1339479392624729,0.1245119305856833,0.00016940170066237357,-5.9794555896608426e-05,-0.010528522672627433,0.011840472238153764,-0.005044777532490504,0.005288273733774687,0.009436008676789592,pa1_sl1_vh0,1,1,0
regime_above_ma99&regime_ma99_slope_up,9220,0.1339479392624729,0.1245119305856833,0.00016940170066237357,-5.9794555896608426e-05,-0.010528522672627433,0.011840472238153764,-0.005044777532490504,0.005288273733774687,0.009436008676789592,pa1_sl1_vh0,1,1,0
break_structure_down,110,0.14545454545454545,0.16363636363636364,-0.0003672842359979808,0.0012056666248915215,-0.016501502007068163,0.008894838417521067,-0.006681935478846385,0.0052334920388505315,-0.018181818181818188,pa1_sl1_vh0,1,1,0
break_structure_down&regime_above_ma99,110,0.14545454545454545,0.16363636363636364,-0.0003672842359979808,0.0012056666248915215,-0.016501502007068163,0.008894838417521067,-0.006681935478846385,0.0052334920388505315,-0.018181818181818188,pa1_sl1_vh0,1,1,0
break_structure_down&regime_ma99_slope_up,110,0.14545454545454545,0.16363636363636364,-0.0003672842359979808,0.0012056666248915215,-0.016501502007068163,0.008894838417521067,-0.006681935478846385,0.0052334920388505315,-0.018181818181818188,pa1_sl1_vh0,1,1,0
big_lower_wick,844,0.11966824644549763,0.13981042654028436,-0.0002411272959763068,-9.275020117899269e-05,-0.011698187939592364,0.011894054083862793,-0.005330684505781964,0.004990239608400989,-0.02014218009478673,pa1_sl1_vh0,1,1,0
big_lower_wick&regime_above_ma99,844,0.11966824644549763,0.13981042654028436,-0.0002411272959763068,-9.275020117899269e-05,-0.011698187939592364,0.011894054083862793,-0.005330684505781964,0.004990239608400989,-0.02014218009478673,pa1_sl1_vh0,1,1,0
big_lower_wick&regime_ma99_slope_up,844,0.11966824644549763,0.13981042654028436,-0.0002411272959763068,-9.275020117899269e-05,-0.011698187939592364,0.011894054083862793,-0.005330684505781964,0.004990239608400989,-0.02014218009478673,pa1_sl1_vh0,1,1,0
sweep_down_reclaim,207,0.10628019323671498,0.1932367149758454,-0.001148619446829879,0.00044707671207677713,-0.017244681351015867,0.008377998889085761,-0.007114704527090767,0.004769505522966434,-0.08695652173913043,pa1_sl1_vh0,1,1,0
sweep_down_reclaim&regime_above_ma99,207,0.10628019323671498,0.1932367149758454,-0.001148619446829879,0.00044707671207677713,-0.017244681351015867,0.008377998889085761,-0.007114704527090767,0.004769505522966434,-0.08695652173913043,pa1_sl1_vh0,1,1,0
sweep_down_reclaim&regime_ma99_slope_up,207,0.10628019323671498,0.1932367149758454,-0.001148619446829879,0.00044707671207677713,-0.017244681351015867,0.008377998889085761,-0.007114704527090767,0.004769505522966434,-0.08695652173913043,pa1_sl1_vh0,1,1,0
big_lower_wick&sweep_down_reclaim,51,0.0392156862745098,0.21568627450980393,-0.0023983240957332966,0.00044707671207677713,-0.016735535984155836,0.004945359616482792,-0.008717961529429465,0.004384386743577076,-0.17647058823529413,pa1_sl1_vh0,1,1,0
regime_above_ma99,2798,0.23409578270192996,0.18548963545389563,0.0007242505942569456,0.00029268242385271925,-0.014392599302546471,0.017468883264504007,-0.00798905272025976,0.0083019423266457,0.04860614724803433,pa1_sl1_vh1,1,1,1
regime_ma99_slope_up,2798,0.23409578270192996,0.18548963545389563,0.0007242505942569456,0.00029268242385271925,-0.014392599302546471,0.017468883264504007,-0.00798905272025976,0.0083019423266457,0.04860614724803433,pa1_sl1_vh1,1,1,1
regime_above_ma99&regime_ma99_slope_up,2798,0.23409578270192996,0.18548963545389563,0.0007242505942569456,0.00029268242385271925,-0.014392599302546471,0.017468883264504007,-0.00798905272025976,0.0083019423266457,0.04860614724803433,pa1_sl1_vh1,1,1,1
big_lower_wick,268,0.22014925373134328,0.19776119402985073,0.00011155762165947111,-0.00024015080623507323,-0.014263062618986317,0.01785545999479617,-0.009405054805088834,0.008707841910535155,0.022388059701492546,pa1_sl1_vh1,1,1,1
big_lower_wick&regime_above_ma99,268,0.22014925373134328,0.19776119402985073,0.00011155762165947111,-0.00024015080623507323,-0.014263062618986317,0.01785545999479617,-0.009405054805088834,0.008707841910535155,0.022388059701492546,pa1_sl1_vh1,1,1,1
big_lower_wick&regime_ma99_slope_up,268,0.22014925373134328,0.19776119402985073,0.00011155762165947111,-0.00024015080623507323,-0.014263062618986317,0.01785545999479617,-0.009405054805088834,0.008707841910535155,0.022388059701492546,pa1_sl1_vh1,1,1,1
break_structure_up,248,0.2701612903225806,0.2661290322580645,0.0003167900335405991,-0.001013745663537069,-0.0170289509349692,0.021550293056393218,-0.010038113551653653,0.010260098470893998,0.0040322580645161255,pa1_sl1_vh1,1,1,1
break_structure_up&regime_above_ma99,248,0.2701612903225806,0.2661290322580645,0.0003167900335405991,-0.001013745663537069,-0.0170289509349692,0.021550293056393218,-0.010038113551653653,0.010260098470893998,0.0040322580645161255,pa1_sl1_vh1,1,1,1
