group,metric,before,after,delta
execution,expectancy,-0.0015372845900460948,-0.001551925631126553,-1.4641041080458179e-05
execution,winrate,0.39909589925734584,0.3981272198902163,-0.0009686793671295213
execution,profit_factor,0.5025956452312026,0.49965301799256023,-0.002942627238642359
execution,max_drawdown,-0.991814533322598,-0.992178697346535,-0.0003641640239370192
execution,trades,3097.0,3097.0,0.0
execution,avg_hold,2.1385211494995158,2.1385211494995158,0.0
robustness,best_execution_expectancy,-0.000910335869494326,-0.0009077874413525259,2.5484281418001195e-06
robustness,best_execution_max_dd,-0.7757789936792316,-0.7579564395787819,0.01782255410044975
blocked,blocked_edge_total,0.0,0.0,0.0
blocked,blocked_by_regime_rule_total,0.0,10.0,10.0
equity,equity_final_return,-0.9917939100528766,-0.9921589915874682,-0.00036508153459158255
equity,equity_max_drawdown,-0.9918333865093137,-0.9921967117719915,-0.00036332526267779386
