scenario,adjustments,long_only,allowed_regimes,trades,expectancy,winrate,profit_factor,max_drawdown,avg_hold,blocked_by_regime_rule_total,adjusted_signal_total
no_trade,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0
pa0_off_both,0,0,pa0_sl1_vh1,78,-0.0012220456336404552,0.47435897435897434,0.61934303888356,-0.08999322014949263,1.8717948717948718,0,0
pa0_on_both,1,0,pa0_sl1_vh1,78,-0.0016754234905382993,0.44871794871794873,0.5383579580677609,-0.12603709592426082,1.8717948717948718,16,16
pa0_on_long_only,1,1,pa0_sl1_vh1,68,-0.0013443625449759571,0.45588235294117646,0.5795571081219835,-0.0840090477512404,1.9411764705882353,0,0
top2_off_both,0,0,pa0_sl1_vh1|pa0_sl0_vh1,574,-0.0019510427486343278,0.4076655052264808,0.4820734862396621,-0.6829509472152282,1.602787456445993,0,0
top2_on_both,1,0,pa0_sl1_vh1|pa0_sl0_vh1,574,-0.0020126515863312477,0.40418118466898956,0.47367227656570104,-0.6947536237390626,1.602787456445993,16,16
top2_on_long_only,1,1,pa0_sl1_vh1|pa0_sl0_vh1,464,-0.0017493807441623884,0.4202586206896552,0.5098187980732347,-0.5699885618408151,1.7564655172413792,0,0
