open_time,open,high,low,close,volume
2023-01-01 00:00:00+00:00,16541.77,16545.7,16508.39,16529.67,4364.8357
2023-01-01 01:00:00+00:00,16529.59,16556.8,16525.78,16551.47,3590.06669
2023-01-01 02:00:00+00:00,16551.47,16559.77,16538.14,16548.19,3318.84038
2023-01-01 03:00:00+00:00,16548.19,16548.19,16518.21,16533.04,4242.0805
2023-01-01 04:00:00+00:00,16533.04,16535.97,16511.92,16521.85,4285.00909
2023-01-01 05:00:00+00:00,16522.22,16534.98,16512.3,16530.71,3717.37178
2023-01-01 06:00:00+00:00,16530.71,16550.0,16528.81,16539.79,3344.90206
2023-01-01 07:00:00+00:00,16539.79,16544.57,16499.01,16526.19,5184.95822
2023-01-01 08:00:00+00:00,16525.7,16534.03,16508.45,16513.34,4271.92023
2023-01-01 09:00:00+00:00,16513.33,16542.49,16505.2,16537.88,4100.75049
2023-01-01 10:00:00+00:00,16538.32,16548.71,16533.42,16548.34,3803.76616
2023-01-01 11:00:00+00:00,16547.98,16557.0,16540.2,16556.66,3739.53013
2023-01-01 12:00:00+00:00,16556.66,16572.94,16548.58,16560.93,4150.48564
2023-01-01 13:00:00+00:00,16561.29,16567.26,16539.05,16548.04,4379.68203
2023-01-01 14:00:00+00:00,16547.61,16558.56,16540.85,16542.94,3294.99093
2023-01-01 15:00:00+00:00,16542.94,16559.99,16533.68,16558.73,3220.93236
2023-01-01 16:00:00+00:00,16558.73,16584.66,16558.0,16565.14,4962.13235
2023-01-01 17:00:00+00:00,16565.13,16596.64,16562.51,16578.85,4714.40354
2023-01-01 18:00:00+00:00,16579.25,16603.89,16578.85,16591.88,4146.37245
2023-01-01 19:00:00+00:00,16591.35,16623.65,16591.34,16603.08,4709.74023
2023-01-01 20:00:00+00:00,16603.53,16628.0,16600.55,16604.51,4189.05318
2023-01-01 21:00:00+00:00,16604.51,16608.83,16592.63,16606.68,3656.77804
2023-01-01 22:00:00+00:00,16607.02,16613.85,16586.24,16602.12,3690.19661
2023-01-01 23:00:00+00:00,16602.39,16625.0,16600.8,16616.75,3846.61495
2023-01-02 00:00:00+00:00,16617.17,16629.05,16581.25,16588.35,4327.06948
2023-01-02 01:00:00+00:00,16587.97,16589.2,16548.7,16565.04,5791.85443
2023-01-02 02:00:00+00:00,16565.03,16595.92,16555.0,16587.85,3150.41571
2023-01-02 03:00:00+00:00,16587.99,16707.25,16581.8,16661.94,6194.13548
2023-01-02 04:00:00+00:00,16662.38,16674.84,16629.29,16639.44,4983.39445
2023-01-02 05:00:00+00:00,16639.74,16662.94,16619.44,16647.58,4976.78402
2023-01-02 06:00:00+00:00,16648.37,16663.27,16635.93,16641.1,3210.61774
2023-01-02 07:00:00+00:00,16641.1,16769.51,16637.44,16721.28,12856.08557
2023-01-02 08:00:00+00:00,16721.27,16772.01,16707.52,16733.71,7080.81126
2023-01-02 09:00:00+00:00,16733.71,16745.68,16710.54,16717.5,5599.20896
2023-01-02 10:00:00+00:00,16717.5,16762.86,16708.68,16727.95,5892.57705
2023-01-02 11:00:00+00:00,16727.72,16741.72,16704.07,16735.11,4695.34392
2023-01-02 12:00:00+00:00,16735.51,16746.29,16719.3,16721.54,4262.00363
2023-01-02 13:00:00+00:00,16721.96,16725.6,16685.0,16694.78,5598.29706
2023-01-02 14:00:00+00:00,16695.12,16710.41,16669.15,16698.69,5460.35075
2023-01-02 15:00:00+00:00,16698.69,16750.0,16692.01,16734.66,6426.56347
2023-01-02 16:00:00+00:00,16734.66,16739.64,16708.23,16710.88,3861.0201
2023-01-02 17:00:00+00:00,16710.69,16723.0,16707.12,16715.42,3035.91493
2023-01-02 18:00:00+00:00,16715.42,16731.71,16707.47,16723.81,2810.694
2023-01-02 19:00:00+00:00,16723.64,16738.22,16715.88,16737.56,2607.1075
2023-01-02 20:00:00+00:00,16737.56,16738.23,16709.29,16728.52,2881.53898
2023-01-02 21:00:00+00:00,16728.52,16799.23,16718.41,16757.76,3771.07914
2023-01-02 22:00:00+00:00,16757.76,16763.78,16690.18,16698.4,5609.151
2023-01-02 23:00:00+00:00,16698.4,16722.98,16660.51,16672.87,6806.55328
2023-01-03 00:00:00+00:00,16672.78,16706.14,16647.81,16695.59,5684.61483
2023-01-03 01:00:00+00:00,16695.59,16696.04,16651.42,16677.6,5606.2077
