open_time,open,high,low,close,volume
2026-02-13 23:00:00+00:00,68995.29,69000.0,68829.2,68853.96,261.19072
2026-02-14 00:00:00+00:00,68853.97,69137.5,68768.56,69090.24,447.10398
2026-02-14 01:00:00+00:00,69090.25,69108.8,68921.54,68964.51,344.69001
2026-02-14 02:00:00+00:00,68964.51,69006.34,68845.6,68884.21,261.74234
2026-02-14 03:00:00+00:00,68884.21,69027.14,68852.0,68981.99,238.3937
2026-02-14 04:00:00+00:00,68982.0,68995.11,68789.59,68790.0,489.78591
2026-02-14 05:00:00+00:00,68790.01,68910.0,68760.0,68773.42,308.2603
2026-02-14 06:00:00+00:00,68773.41,68936.98,68730.13,68936.98,470.43757
2026-02-14 07:00:00+00:00,68936.98,69343.0,68884.56,69219.26,919.89001
2026-02-14 08:00:00+00:00,69219.27,69870.99,69218.71,69746.2,1347.80343
2026-02-14 09:00:00+00:00,69746.2,69900.0,69566.78,69714.93,555.36385
2026-02-14 10:00:00+00:00,69714.94,69714.94,69585.15,69671.86,257.25533
2026-02-14 11:00:00+00:00,69671.86,70560.01,69671.86,70505.74,1370.55448
2026-02-14 12:00:00+00:00,70505.74,70533.67,69600.0,69640.2,1278.19574
2026-02-14 13:00:00+00:00,69640.2,69771.91,69064.6,69460.0,3393.7597
2026-02-14 14:00:00+00:00,69460.0,69856.7,69208.09,69701.66,1680.0126
2026-02-14 15:00:00+00:00,69701.66,70048.39,69560.0,69778.28,751.6532
2026-02-14 16:00:00+00:00,69778.28,69815.0,69283.02,69755.1,1006.67903
2026-02-14 17:00:00+00:00,69755.1,69930.9,69609.0,69739.38,685.87401
2026-02-14 18:00:00+00:00,69739.38,69856.7,69672.55,69772.31,270.42048
2026-02-14 19:00:00+00:00,69772.3,69920.6,69619.52,69873.99,332.30706
2026-02-14 20:00:00+00:00,69873.99,70028.59,69732.75,70023.09,434.13483
2026-02-14 21:00:00+00:00,70023.1,70250.46,69668.05,69935.86,640.89584
2026-02-14 22:00:00+00:00,69935.86,70100.0,69781.0,69959.75,292.90739
2026-02-14 23:00:00+00:00,69959.74,70020.0,69723.18,69822.95,336.66314
2026-02-15 00:00:00+00:00,69822.94,69864.74,69600.0,69777.07,292.27775
2026-02-15 01:00:00+00:00,69777.06,69902.7,69350.0,69717.65,400.20039
2026-02-15 02:00:00+00:00,69717.65,69753.9,69341.27,69480.01,375.21945
2026-02-15 03:00:00+00:00,69480.0,69990.02,69251.5,69954.5,697.2437
2026-02-15 04:00:00+00:00,69954.5,70518.57,69459.35,70183.99,2275.16813
2026-02-15 05:00:00+00:00,70184.0,70472.43,70132.54,70267.61,540.45783
2026-02-15 06:00:00+00:00,70267.6,70540.99,70184.09,70405.12,505.71551
2026-02-15 07:00:00+00:00,70405.12,70926.42,70307.11,70828.42,1425.80275
2026-02-15 08:00:00+00:00,70828.43,70983.0,70182.31,70446.52,898.37828
2026-02-15 09:00:00+00:00,70446.52,70668.0,70370.3,70419.11,334.99126
2026-02-15 10:00:00+00:00,70419.12,70523.94,70208.16,70427.02,382.24903
2026-02-15 11:00:00+00:00,70427.02,70543.14,70267.6,70295.22,457.63561
2026-02-15 12:00:00+00:00,70295.22,70418.48,69309.87,69314.21,1027.34588
2026-02-15 13:00:00+00:00,69314.22,69620.06,68772.2,68930.0,1749.29694
2026-02-15 14:00:00+00:00,68930.0,69219.71,68845.72,69170.51,629.32577
2026-02-15 15:00:00+00:00,69170.51,69255.6,68888.0,69099.99,446.59665
2026-02-15 16:00:00+00:00,69100.0,69100.0,68658.0,69017.75,1442.09011
2026-02-15 17:00:00+00:00,69017.76,69085.22,68203.6,68641.21,1194.71218
2026-02-15 18:00:00+00:00,68641.21,68800.0,68274.31,68451.44,2695.36643
2026-02-15 19:00:00+00:00,68451.45,68560.84,68000.0,68286.63,2807.35363
2026-02-15 20:00:00+00:00,68286.64,68560.22,68120.0,68450.0,399.94279
2026-02-15 21:00:00+00:00,68450.0,68950.16,68450.0,68852.01,407.5596
2026-02-15 22:00:00+00:00,68852.01,69078.49,68801.06,68999.96,384.07496
2026-02-15 23:00:00+00:00,68999.96,68999.96,68319.64,68832.58,521.04745
2026-02-16 00:00:00+00:00,68832.59,69065.5,68700.0,68845.81,349.86984
